,word,doc0,doc1,doc2
0,abhorrent,0.0,0.0,0.008914573305363426
1,ability,0.0,0.021156258116020076,0.0
2,abject,0.0,0.0,0.008914573305363426
3,able,0.0,0.0,0.01782914661072685
4,abode,0.0,0.04231251623204015,0.0
5,abortive,0.0,0.010578129058010038,0.0
6,abroad,0.0,0.0,0.008914573305363426
7,absent,0.0,0.008044939804687295,0.006779762775896069
8,absolutely,0.0,0.0,0.008914573305363426
9,abstained,0.0,0.0,0.008914573305363426
10,abstruse,0.0,0.010578129058010038,0.0
11,abuse,0.012440673793328114,0.0,0.0
12,accent,0.0,0.0,0.026743719916090276
13,accents,0.0,0.0,0.01782914661072685
14,accept,0.018922906167662762,0.0,0.006779762775896069
15,accident,0.0,0.008044939804687295,0.006779762775896069
16,accidentally,0.0,0.0,0.008914573305363426
17,accompanied,0.0,0.024134819414061884,0.020339288327688207
18,accompany,0.0,0.010578129058010038,0.0
19,accomplished,0.009461453083831381,0.008044939804687295,0.0
20,accomplishments,0.0,0.0,0.008914573305363426
21,accorded,0.0,0.010578129058010038,0.0
22,according,0.0,0.021156258116020076,0.0
23,account,0.009461453083831381,0.04022469902343647,0.0
24,accounted,0.0,0.010578129058010038,0.0
25,accuracy,0.0,0.0,0.008914573305363426
26,accustomed,0.0,0.008044939804687295,0.020339288327688207
27,achieve,0.0,0.010578129058010038,0.0
28,acknowledged,0.012440673793328114,0.0,0.0
29,acorns,0.0,0.0,0.008914573305363426
30,acquaintance,0.028384359251494143,0.008044939804687295,0.0
31,acquaintances,0.012440673793328114,0.0,0.0
32,acquainted,0.022042987053046074,0.056228520836921835,0.010530181200686006
33,acquired,0.0,0.010578129058010038,0.0
34,acquirement,0.0,0.010578129058010038,0.0
35,acquiring,0.0,0.0,0.008914573305363426
36,acquisition,0.0,0.010578129058010038,0.0
37,act,0.009461453083831381,0.024134819414061884,0.0
38,actions,0.0,0.008044939804687295,0.006779762775896069
39,active,0.0,0.008044939804687295,0.006779762775896069
40,activity,0.0,0.0,0.008914573305363426
41,actual,0.0,0.010578129058010038,0.0
42,actually,0.02488134758665623,0.0,0.0
43,acuteness,0.0,0.010578129058010038,0.0
44,added,0.009461453083831381,0.024134819414061884,0.0
45,additional,0.0,0.0,0.01782914661072685
46,addressed,0.009461453083831381,0.0,0.006779762775896069
47,adequate,0.0,0.010578129058010038,0.0
48,adjacent,0.0,0.0,0.008914573305363426
49,adjusting,0.012440673793328114,0.0,0.0
50,admiration,0.007347662351015359,0.018742840278973945,0.005265090600343003
51,admire,0.012440673793328114,0.0,0.0
52,admired,0.018922906167662762,0.0,0.013559525551792137
53,admittance,0.0,0.0,0.008914573305363426
54,admitted,0.012440673793328114,0.0,0.0
55,adored,0.0,0.010578129058010038,0.0
56,adorned,0.0,0.0,0.008914573305363426
57,advanced,0.0,0.01608987960937459,0.013559525551792137
58,advantage,0.018922906167662762,0.008044939804687295,0.0
59,advantages,0.0,0.0,0.008914573305363426
60,adventure,0.0,0.010578129058010038,0.0
61,adventurous,0.0,0.021156258116020076,0.0
62,adversity,0.0,0.010578129058010038,0.0
63,advice,0.009461453083831381,0.008044939804687295,0.0
64,advise,0.0,0.010578129058010038,0.0
65,aerial,0.0,0.010578129058010038,0.0
66,affability,0.0,0.010578129058010038,0.0
67,affairs,0.0,0.010578129058010038,0.0
68,affect,0.012440673793328114,0.0,0.0
69,affectation,0.0,0.010578129058010038,0.0
