ID,gender,age,group,time
13306,F,34,F30-34,7.183888888
13307,F,30,F30-34,7.221388888
13308,F,26,F25-29,7.221666667
13309,F,32,F30-34,7.190555555
13310,F,29,F25-29,7.26
13311,F,38,F35-39,7.034444445
13312,M,31,M30-34,7.26
13313,M,33,M30-34,7.115555555
13314,M,62,M60-64,7.1225
13315,M,52,M50-54,7.255555555
13316,M,47,M45-49,7.113611112
13317,M,43,M40-44,7.189444445
13318,F,41,F40-44,7.189444445
13319,F,45,F45-49,7.382222222
13320,F,30,F30-34,7.309166667
13321,F,26,F25-29,7.186388888
13322,F,40,F40-44,7.233888888
13323,F,39,F35-39,7.191111112
13324,F,35,F35-39,7.261666667
13325,F,43,F40-44,7.26
13326,F,50,F50-54,7.220277778
13327,F,55,F55-59,7.220277778
13328,F,32,F30-34,7.261666667
13329,F,39,F35-39,7.220277778
13330,F,31,F30-34,7.222777778
13331,M,40,M40-44,7.4125
13332,F,53,F50-54,7.361666667
13333,M,29,M25-29,7.296944445
13334,F,22,F18-24,7.273611112
13335,M,51,M50-54,7.273611112
13336,F,63,F60-64,7.263055555
13337,F,50,F50-54,7.1525
13338,M,48,M45-49,7.152777778
13339,F,55,F55-59,7.200555555
13340,M,38,M35-39,7.298888888
13341,F,30,F30-34,7.271666667
13342,M,32,M30-34,6.975555555
13343,M,57,M55-59,7.303333333
13344,M,31,M30-34,6.975833333
13345,F,34,F30-34,7.129166667
13346,F,44,F40-44,7.266388888
13347,F,62,F60-64,7.272777778
13348,M,46,M45-49,7.225
13349,F,39,F35-39,7.375833333
13350,M,44,M40-44,7.267222222
13351,F,40,F40-44,7.27
13352,F,36,F35-39,7.302222222
13353,M,29,M25-29,7.091111112
13354,M,33,M30-34,7.091111112
13355,M,47,M45-49,7.271388888
13356,M,33,M30-34,7.091388888
13357,F,26,F25-29,7.192222222
13358,F,42,F40-44,7.195
13359,M,47,M45-49,7.195277778
13360,M,55,M55-59,7.156666667
13361,M,50,M50-54,7.301111112
13362,F,56,F55-59,7.050555555
13363,F,36,F35-39,7.228333333
13364,M,39,M35-39,7.055833333
13365,M,22,M18-24,7.156388888
13366,F,21,F18-24,7.276944445
13367,F,54,F50-54,7.317222222
13368,F,29,F25-29,7.302777778
13369,F,42,F40-44,7.278333333
13370,M,48,M45-49,7.049722222
13371,F,23,F18-24,7.193055555
13372,M,46,M45-49,7.267777778
13373,F,34,F30-34,7.2675
13374,F,27,F25-29,7.275
13375,F,49,F45-49,7.193333333
13376,F,43,F40-44,7.27
13377,F,38,F35-39,7.195277778
13378,F,44,F40-44,7.051944445
13379,M,56,M55-59,7.336666667
13380,F,29,F25-29,7.051944445
13381,F,56,F55-59,7.336388888
13382,F,49,F45-49,7.051944445
13383,M,49,M45-49,7.271666667
13384,F,48,F45-49,7.271388888
13385,F,32,F30-34,7.246944445
13386,F,48,F45-49,7.269444445
13387,F,26,F25-29,7.205833333
13388,F,32,F30-34,7.236388888
13389,F,33,F30-34,7.277777778
13390,M,27,M25-29,7.2375
13391,M,30,M30-34,7.200833333
13392,F,52,F50-54,7.085277778
13393,F,51,F50-54,7.196944445
13394,F,29,F25-29,7.085
13395,F,24,F18-24,7.245833333
13396,F,40,F40-44,7.236388888
13397,M,42,M40-44,7.273888888
13398,F,39,F35-39,7.371111112
13399,M,43,M40-44,7.277777778
13400,F,53,F50-54,7.278611112
13401,F,40,F40-44,7.201388888
13402,F,37,F35-39,7.389166667
13403,F,43,F40-44,7.277777778
13404,F,47,F45-49,7.278055555
13405,M,59,M55-59,7.389722222
13406,M,29,M25-29,7.132222222
13407,F,56,F55-59,7.370555555
13408,F,25,F25-29,7.132777778
13409,F,46,F45-49,7.280555555
13410,F,35,F35-39,7.199722222
13411,M,65,M65+,7.133055555
13412,M,50,M50-54,6.923333333
13413,M,29,M25-29,7.200833333
13414,F,34,F30-34,7.130555555
13415,F,57,F55-59,7.275555555
13416,F,30,F30-34,7.198333333
13417,F,23,F18-24,7.275555555
13418,F,28,F25-29,7.200833333
13419,M,27,M25-29,7.336388888
13420,F,54,F50-54,7.276388888
13421,F,30,F30-34,7.276388888
13422,F,38,F35-39,7.054722222
13423,F,33,F30-34,7.132222222
13424,F,34,F30-34,7.132222222
13425,F,47,F45-49,7.278055555
13426,M,46,M45-49,7.136111112
13427,F,36,F35-39,7.241944445
13428,F,38,F35-39,7.241666667
13429,F,48,F45-49,7.274166667
13430,F,33,F30-34,7.051666667
13431,M,44,M40-44,7.246666667
13432,F,38,F35-39,7.313611112
13433,M,24,M18-24,7.286666667
13434,F,37,F35-39,7.030833333
13435,M,39,M35-39,7.288611112
13436,M,44,M40-44,7.246944445
13437,F,38,F35-39,7.314166667
13438,F,33,F30-34,7.135833333
13439,F,30,F30-34,7.168611112
13440,F,57,F55-59,7.168611112
13441,M,37,M35-39,7.031388888
13442,F,63,F60-64,7.323888888
13443,F,23,F18-24,7.035277778
13444,M,42,M40-44,7.035277778
13445,F,48,F45-49,7.035277778
13446,F,50,F50-54,7.255555555
13447,M,31,M30-34,7.25
13448,F,31,F30-34,7.25
13449,F,60,F60-64,7.331111112
13450,M,61,M60-64,7.135277778
13451,F,28,F25-29,7.184722222
13452,M,25,M25-29,7.185
13453,M,53,M50-54,7.170833333
13454,F,35,F35-39,7.316388888
13455,F,27,F25-29,7.139722222
13456,F,42,F40-44,7.258333333
13457,F,32,F30-34,7.14
13458,M,53,M50-54,7.2525
13459,M,67,M65+,7.094166667
13460,F,24,F18-24,7.254722222
13461,F,40,F40-44,7.242222222
